,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q79,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,age,years_education,english_first_lang,handedness,sex_at_birth,gender,Q15_6_TEXT,ethnicity,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,VVIQ_1_Open_1,VVIQ_2_Open_1,VVIQ_3_Open_1,VVIQ_4_Open_1,VVIQ_5_Open_1,VVIQ_6_Open_1,VVIQ_7_Open_1,VVIQ_8_Open_1,VVIQ_9_Open_1,VVIQ_10_Open_1,VVIQ_11_Open_1,VVIQ_12_Open_1,VVIQ_13_Open_1,VVIQ_14_Open_1,VVIQ_15_Open_1,VVIQ_16_Open_1,VVIQ_1_Closed_1,VVIQ_2_Closed_1,VVIQ_3_Closed_1,VVIQ_4_Closed_1,VVIQ_5_Closed_1,VVIQ_6_Closed_1,VVIQ_7_Closed_1,VVIQ_8_Closed_1,VVIQ_9_Closed_1,VVIQ_10_Closed_1,VVIQ_11_Closed_1,VVIQ_12_Closed_1,VVIQ_13_Closed_1,VVIQ_14_Closed_1,VVIQ_15_Closed_1,VVIQ_16_Closed_1,Q95,id,Complete Data,Ling_or_Analog,Attention Check,participant
104,11/24/20 16:47,11/24/20 17:23,IP Address,73.125.9.196,100,2158,TRUE,11/24/20 17:23,R_1mwuIAeZaZq762S,,,,,26.6598053,-80.24289703,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1920x1080,18.0,12,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Disagree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neutral,Somewhat disagree,Agree,Disagree,Disagree,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44533.0,1.0,Analog,6.0,44533.0
105,11/24/20 17:13,11/24/20 17:34,IP Address,35.141.147.97,100,1254,TRUE,11/24/20 17:34,R_3KwiOSAjbjnH56q,,,,,28.14509583,-82.51319885,anonymous,EN,,Chrome,87.0.4280.67,Macintosh,1280x800,23.0,15,english,not right,female,woman,,heterosexual,,white,,Strongly disagree,Disagree,Somewhat disagree,Agree,Strongly disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Agree,Disagree,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44288.0,1.0,Ling,8.0,44288.0
106,11/24/20 18:21,11/24/20 18:34,IP Address,72.187.201.81,100,752,TRUE,11/24/20 18:34,R_1HifpnAUIMgGg2S,,,,,27.8401947,-82.64929962,anonymous,EN,,Chrome,87.0.4280.67,Macintosh,1440x900,20.0,14,english,right,female,woman,,heterosexual,,hisp,,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,44614.0,1.0,Ling,6.0,44614.0
107,11/24/20 18:41,11/24/20 19:03,IP Address,70.253.69.216,100,1300,TRUE,11/24/20 19:03,R_yIbtxLuhCcFtBUB,,,,,26.27290344,-80.26000214,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1536x864,18.0,12,english,right,male,man,,heterosexual,,white,,Agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Neutral,Agree,Neutral,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,ufbold5000,44518.0,1.0,Analog,8.0,44518.0
109,11/24/20 21:32,11/24/20 21:48,IP Address,35.141.71.181,100,926,TRUE,11/24/20 21:48,R_1Ic7uQbRPERM2j9,,,,,28.26939392,-81.47419739,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1280x800,19.0,12,not english,not right,female,woman,,bisexual,,asian,,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Neutral,Agree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivd,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44299.0,1.0,Ling,7.0,44299.0
110,11/24/20 22:32,11/24/20 23:00,IP Address,73.0.209.3,100,1666,TRUE,11/24/20 23:00,R_2y7tjnyKTlyB3EW,,,,,26.59910583,-80.12840271,anonymous,EN,,Chrome,85.0.4183.121,Macintosh,1440x900,19.0,12,not english,right,female,woman,,heterosexual,,asian,,Agree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Disagree,Somewhat agree,Neutral,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,43947.0,1.0,Analog,9.0,43947.0
111,11/24/20 17:58,11/24/20 23:02,IP Address,98.238.111.107,100,18231,TRUE,11/24/20 23:02,R_11101D4YGE2D1rV,,,,,26.18829346,-81.70709991,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1280x720,18.0,12,english,right,female,woman,,heterosexual,,black/afri-amer,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,44581.0,1.0,Ling,8.0,44581.0
112,11/25/20 3:25,11/25/20 4:02,IP Address,176.205.120.63,100,2198,TRUE,11/25/20 4:02,R_1mWe2ZSc4C9gu6c,,,,,24.19000244,55.76229858,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1920x1080,19.0,14,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44585.0,1.0,Ling,9.0,44585.0
114,11/25/20 8:19,11/25/20 8:44,IP Address,73.236.242.92,100,1520,TRUE,11/25/20 8:44,R_1PY8UvkNioUuNgs,,,,,40.44219971,-79.99269867,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1280x800,19.0,13,english,right,female,woman,,bisexual,,"black/afri-amer,hisp",,Somewhat agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Neutral,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,ufbold5000,44239.0,1.0,Analog,6.0,44239.0
116,11/25/20 10:36,11/25/20 11:04,IP Address,70.122.154.100,100,1672,TRUE,11/25/20 11:04,R_eP40GnN9pjP3bs5,,,,,32.89959717,-96.79060364,anonymous,EN,,Safari,14.0.1,Macintosh,1792x1120,18.0,12,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Disagree,Agree,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,ufbold5000,44225.0,1.0,Analog,7.0,44225.0
117,11/19/20 12:20,11/19/20 12:25,IP Address,98.180.248.52,97,304,FALSE,11/26/20 12:26,R_1nPDZPIwRKuU8cj,,,,,,,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1536x864,20.0,14,english,not right,male,man,,heterosexual,,white,,Strongly agree,Neutral,Agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,,43904.0,1.0,Ling,8.0,43904.0
121,11/20/20 12:17,11/20/20 13:20,IP Address,69.122.100.73,99,3758,FALSE,11/27/20 13:20,R_2SCB9zHb8h8BrZY,,,,,,,anonymous,EN,,Chrome,86.0.4240.198,Macintosh,1440x900,18.0,12,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat disagree,Somewhat agree,Agree,Disagree,Neutral,Disagree,Somewhat disagree,Neutral,Disagree,Neutral,Somewhat disagree,Neutral,Agree,Somewhat disagree,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Vague and dim,Vague and dim,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,44076.0,1.0,Ling,6.0,44076.0
122,11/24/20 22:40,11/28/20 22:25,IP Address,181.142.67.27,100,344690,TRUE,11/28/20 22:25,R_2XamH6jZvIOvjbD,,,,,6.17590332,-75.59169769,anonymous,EN,,Safari,14,Macintosh,1280x800,18.0,12,english,right,female,woman,,heterosexual,,hisp,,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,ufbold5000,44238.0,1.0,Analog,7.0,44238.0
127,11/23/20 17:44,11/23/20 17:49,IP Address,73.236.242.92,97,288,FALSE,11/30/20 17:49,R_2VqevDGJupWE4N9,,,,,,,anonymous,EN,,Safari,13.1.2,Macintosh,1024x1366,19.0,13,english,right,female,woman,,bisexual,,"black/afri-amer,hisp",,Somewhat agree,Neutral,Somewhat disagree,Neutral,Disagree,Strongly disagree,Neutral,Somewhat disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,44239.0,1.0,Analog,6.0,44239.0
142,11/24/20 15:03,11/25/20 13:54,IP Address,105.163.173.230,97,82266,FALSE,12/2/20 13:55,R_3suiAOSElk1EfVO,,,,,,,anonymous,EN,,Chrome,87.0.4280.66,Windows NT 10.0,1280x720,21.0,14,english,right,female,woman,,heterosexual,,black/afri-amer,,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,,44398.0,1.0,Ling,9.0,44398.0
146,1/13/22 14:56,1/13/22 15:31,IP Address,68.101.77.235,100,2102,TRUE,1/13/22 15:31,R_1CJBL13DULINSeD,,,,,29.68249512,-82.36060333,anonymous,EN,I agree to participate.,Chrome,96.0.4664.110,Macintosh,1440x900,22.0,13,english,right,female,woman,,heterosexual,,white,,Somewhat disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,46470.0,1.0,Analog,6.0,46470.0
147,1/13/22 17:36,1/13/22 17:50,IP Address,67.83.156.71,100,861,TRUE,1/13/22 17:50,R_1mq1nORfOndqclE,,,,,41.06170654,-74.00830078,anonymous,EN,I agree to participate.,Chrome,96.0.4664.110,Macintosh,1512x982,18.0,12,english,right,female,woman,,heterosexual,,white,,Disagree,Neutral,Somewhat agree,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,46473.0,1.0,Analog,6.0,46473.0
153,1/26/22 18:14,1/26/22 18:31,IP Address,66.231.134.206,100,972,TRUE,1/26/22 18:31,R_xDfawivlMHUH809,,,,,29.646698,-82.32839966,anonymous,EN,I agree to participate.,Chrome,97.0.4692.99,Macintosh,1440x900,19.0,14,english,right,female,woman,,heterosexual,,"asian,black/afri-amer",,Somewhat agree,Neutral,Neutral,Neutral,Disagree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivd,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,46502.0,1.0,Analog,6.0,46502.0
